exp_id,support_type,configuration,test_direction_code,mode,fit_group,candidate_channel_count,candidate_channels,auxiliary_valid_channel_count,auxiliary_valid_channels,decision_class,fft_target_estimate_hz,time_domain_estimate_median_hz,time_domain_estimate_min_hz,time_domain_estimate_max_hz,fft_time_relative_difference_median_pct,N_decay_valid_min,N_decay_valid_median,N_decay_all_min,final_adopted_frequency_hz,final_frequency_source,final_channel_or_aggregation,selection_reason,included_stiffness_baseline,included_stiffness_29_excluded_sensitivity,damping_valid_channel_count,included_damping_baseline,included_damping_29_excluded_sensitivity,included_NLI_baseline,included_NLI_29_excluded_sensitivity,auxiliary_note_counts
CA_07_Top_A,CA,CA_07_Top,A,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",13,"ch_05,ch_06,ch_07,ch_08,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19",auxiliary-rule-supported,0.579100012779,0.569602905403,0.564031575275,0.602354755327,-1.63997706209,77.4202860785,133.69056567,4.58068110108,0.5791,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,12,True,True,True,True,fast-decay:2; invalid: low_r_squared:1; invalid: method_disagreement:4; quantitative:13
CA_07_Top_R,CA,CA_07_Top,R,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",4,"ch_05,ch_06,ch_07,ch_08",auxiliary-rule-supported,0.563300013542,0.56226295505,0.56226295505,0.563200480598,-0.184104112837,34.6011539718,34.6836774238,2.91552821009,0.5633,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,4,True,True,False,False,fast-decay:2; invalid: low_r_squared:4; invalid: method_disagreement:6; invalid: poor_band_rejection:4; quantitative:4
CA_07_Top_R,CA,CA_07_Top,R,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.66060000658,,,,,,,8.51553044482,0.6606,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,invalid: low_r_squared:9; invalid: method_disagreement:8; invalid: poor_band_rejection:3
CA_07_Top_R,CA,CA_07_Top,R,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",4,"ch_05,ch_06,ch_07,ch_08",auxiliary-rule-supported,0.563300013542,0.56226295505,0.56226295505,0.563200480598,-0.184104112837,34.6011539718,34.6836774238,2.91552821009,0.5633,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,4,True,True,True,True,fast-decay:2; invalid: low_r_squared:4; invalid: method_disagreement:6; invalid: poor_band_rejection:4; quantitative:4
CA_13+07_Mid_AA,CA,CA_13+07_Mid,AA,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",12,"ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_17,ch_18,ch_19,ch_20",auxiliary-rule-supported,0.33939999342,0.338862626542,0.337327061721,0.364452214517,-0.158328487909,92.7052415026,240.479947728,14.1195827662,0.3394,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,11,True,True,False,False,invalid: low_r_squared:1; invalid: method_disagreement:7; quantitative:12
CA_13+07_Mid_AA,CA,CA_13+07_Mid,AA,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.410899996758,,,,,,,4.17322363707,0.4109,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,fast-decay:1; invalid: low_r_squared:1; invalid: method_disagreement:14; invalid: poor_band_rejection:4
CA_13+07_Mid_AA,CA,CA_13+07_Mid,AA,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",12,"ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_17,ch_18,ch_19,ch_20",auxiliary-rule-supported,0.33939999342,0.338862626542,0.337327061721,0.364452214517,-0.158328487909,92.7052415026,240.479947728,14.1195827662,0.3394,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,11,True,True,True,True,invalid: low_r_squared:1; invalid: method_disagreement:7; quantitative:12
CA_13+07_Mid_AR,CA,CA_13+07_Mid,AR,axial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",10,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_17,ch_18",auxiliary-rule-supported,0.336499989033,0.335585185012,0.333614894061,0.35211099956,-0.27185855883,199.73091449,290.329616313,3.12181134825,0.3365,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,8,True,True,False,False,fast-decay:2; invalid: low_r_squared:2; invalid: method_disagreement:5; invalid: poor_band_rejection:1; quantitative:10
CA_13+07_Mid_AR,CA,CA_13+07_Mid,AR,planar_rotation,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",0,,manual-critical,0.412000000477,,,,,,,2.73592720317,0.412,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,No channel passed all auxiliary rules; the frozen historical condition-level frequency therefore remains manual-critical.,True,False,0,False,False,False,False,fast-decay:1; invalid: method_disagreement:13; invalid: poor_band_rejection:6
CA_13+07_Mid_AR,CA,CA_13+07_Mid,AR,radial,CA,20,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_09,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20",10,"ch_01,ch_02,ch_03,ch_04,ch_05,ch_06,ch_07,ch_08,ch_17,ch_18",auxiliary-rule-supported,0.336499989033,0.335585185012,0.333614894061,0.35211099956,-0.27185855883,199.73091449,290.329616313,3.12181134825,0.3365,COMPARE_6.xlsx condition-level frequency,not encoded in the frozen condition-level source,The historical condition-level frequency is supported by at least one channel passing the auxiliary rules; the auxiliary rules did not replace the documented manual decision.,True,True,8,True,True,True,True,fast-decay:2; invalid: low_r_squared:2; invalid: method_disagreement:5; invalid: poor_band_rejection:1; quantitative:10
