bin_index,amplitude_lower_mm_s,amplitude_upper_mm_s,window_count,NLI_below_5_count,fraction_NLI_below_5_pct,window_weighting,record_level_reweighting,display_rule
29,84.6711866764,87.5907782369,189,185,97.8835978836,equal weight per retained window,False,display only when window_count >= 8
30,87.5907782369,90.5103697974,208,202,97.1153846154,equal weight per retained window,False,display only when window_count >= 8
31,90.5103697974,93.4299613579,178,174,97.7528089888,equal weight per retained window,False,display only when window_count >= 8
32,93.4299613579,96.3495529184,191,187,97.9057591623,equal weight per retained window,False,display only when window_count >= 8
33,96.3495529184,99.2691444788,174,169,97.1264367816,equal weight per retained window,False,display only when window_count >= 8
34,99.2691444788,102.188736039,156,151,96.7948717949,equal weight per retained window,False,display only when window_count >= 8
35,102.188736039,105.1083276,149,143,95.9731543624,equal weight per retained window,False,display only when window_count >= 8
36,105.1083276,108.02791916,162,158,97.5308641975,equal weight per retained window,False,display only when window_count >= 8
37,108.02791916,110.947510721,142,140,98.5915492958,equal weight per retained window,False,display only when window_count >= 8
38,110.947510721,113.867102281,115,114,99.1304347826,equal weight per retained window,False,display only when window_count >= 8
39,113.867102281,116.786693842,155,153,98.7096774194,equal weight per retained window,False,display only when window_count >= 8
40,116.786693842,119.706285402,147,141,95.9183673469,equal weight per retained window,False,display only when window_count >= 8
41,119.706285402,122.625876963,118,115,97.4576271186,equal weight per retained window,False,display only when window_count >= 8
42,122.625876963,125.545468523,115,115,100,equal weight per retained window,False,display only when window_count >= 8
43,125.545468523,128.465060084,139,138,99.2805755396,equal weight per retained window,False,display only when window_count >= 8
44,128.465060084,131.384651644,127,126,99.2125984252,equal weight per retained window,False,display only when window_count >= 8
45,131.384651644,134.304243205,95,95,100,equal weight per retained window,False,display only when window_count >= 8
46,134.304243205,137.223834765,100,98,98,equal weight per retained window,False,display only when window_count >= 8
47,137.223834765,140.143426326,108,107,99.0740740741,equal weight per retained window,False,display only when window_count >= 8
48,140.143426326,143.063017886,101,100,99.0099009901,equal weight per retained window,False,display only when window_count >= 8
49,143.063017886,145.982609447,108,107,99.0740740741,equal weight per retained window,False,display only when window_count >= 8
