exp_id,channel_id,mode,f_target_hz,f_peakcount_hz,delta_f_over_f_target_pct,N_decay,valid,note
TB_07+13_MidTop_RA,ch_16,radial,0.28760001063346863,0.3341267205069292,16.177575852998306,16.17750059813261,False,invalid: poor_band_rejection
TB_07+13_MidTop_RA,ch_17,radial,0.28760001063346863,0.3063254326377871,6.510925351871098,47.21238898558914,True,quantitative
TB_07+13_MidTop_RA,ch_18,radial,0.28760001063346863,0.30632639014354207,6.511258281537148,47.240286186620594,True,quantitative
TB_07+13_MidTop_RA,ch_19,radial,0.28760001063346863,0.3027045352923218,5.2519207581334495,35.0231527749151,True,quantitative
TB_07+13_MidTop_RA,ch_20,radial,0.28760001063346863,0.3016859070445383,4.897738487576557,34.62988852037489,False,invalid: poor_band_rejection
TB_07+13_MidTop_RA,ch_01,axial,0.3172999918460846,0.3198391642334386,0.8002434455106175,185.29808036224483,True,quantitative
TB_07+13_MidTop_RA,ch_02,axial,0.3172999918460846,0.3198380132838236,0.7998807131927543,185.42202408505977,True,quantitative
TB_07+13_MidTop_RA,ch_03,axial,0.3172999918460846,0.35819635944159256,12.888865000458594,187.8388886039516,True,quantitative
TB_07+13_MidTop_RA,ch_04,axial,0.3172999918460846,0.3581130200637211,12.862599831844312,188.55154438563792,True,quantitative
TB_07+13_MidTop_RA,ch_05,axial,0.3172999918460846,0.3157730439889895,-0.48123160930801645,35.913060167112945,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_06,axial,0.3172999918460846,0.3159363889957498,-0.4297519336200539,35.91286978711784,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_07,axial,0.3172999918460846,0.34565447514528286,8.936175237266445,9.140968545097111,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_08,axial,0.3172999918460846,0.3349538720667611,5.563782122389719,7.994468484559654,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_09,axial,0.3172999918460846,0.31466700231146916,-0.8298107791608907,60.2063407928288,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_10,axial,0.3172999918460846,0.31474407779171215,-0.805519735283278,59.92743409999609,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_11,axial,0.3172999918460846,0.34019911854408386,7.216869614389128,20.203093350824712,True,quantitative
TB_07+13_MidTop_RA,ch_12,axial,0.3172999918460846,0.34079235846163086,7.403834610541657,20.605905690473314,False,invalid: poor_band_rejection
TB_07+13_MidTop_RA,ch_13,axial,0.3172999918460846,0.3158980838935054,-0.44182413760012107,79.04583742869495,False,invalid: method_disagreement
TB_07+13_MidTop_RA,ch_14,axial,0.3172999918460846,0.31569962071523777,-0.5043716268430062,78.9218683218807,False,invalid: low_r_squared
TB_07+13_MidTop_RA,ch_15,axial,0.3172999918460846,0.3418511238355696,7.737514220105693,22.093154212254284,False,invalid: poor_band_rejection
TB_07+13_MidTop_RA,ch_16,axial,0.3172999918460846,0.34133346572934425,7.574369524383026,21.783374230214957,True,quantitative
TB_07+13_MidTop_RA,ch_17,axial,0.3172999918460846,0.3064787811519155,-3.4104037101325293,54.132996838900446,True,quantitative
TB_07+13_MidTop_RA,ch_18,axial,0.3172999918460846,0.3068405590273997,-3.2963860975321215,54.164092238101354,True,quantitative
TB_07+13_MidTop_RA,ch_19,axial,0.3172999918460846,0.3031912344480012,-4.446504179214485,33.77487071205973,False,invalid: low_r_squared
TB_07+13_MidTop_RA,ch_20,axial,0.3172999918460846,0.2993451824134706,-5.6586227210883475,26.616963656002284,False,invalid: low_r_squared
