exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,freq_source_status,fit_status
TB_07+07_Mid_RR,planar_rotation,OTHERS,451.94,1.837,0.008,0.4266,0.42660000920295715,both,used_in_fit
TB_07+07_Mid_RR,radial,OTHERS,451.94,2.227,0.008,0.3361,0.3361000120639801,both,used_in_fit
TB_07+13_MidTop_AA,axial,OTHERS,486.14,2.697,0.008,0.3159,0.3158999979496002,both,used_in_fit
TB_07+13_MidTop_AA,planar_rotation,OTHERS,486.14,2.697,0.008,0.3554,0.3553999960422516,both,used_in_fit
TB_07+13_MidTop_AA,radial,OTHERS,486.14,3.087,0.008,0.287,0.28700000047683716,both,used_in_fit
TB_07+13_MidTop_AR,axial,OTHERS,486.14,2.697,0.008,0.3105,0.31049999594688416,both,used_in_fit
TB_07+13_MidTop_AR,planar_rotation,OTHERS,486.14,2.697,0.008,0.3559,0.35589998960494995,both,used_in_fit
TB_07+13_MidTop_AR,radial,OTHERS,486.14,3.087,0.008,0.2869,0.28690001368522644,both,used_in_fit
TB_07+13_MidTop_RA,axial,OTHERS,486.14,2.697,0.008,0.3173,0.3172999918460846,both,used_in_fit
TB_07+13_MidTop_RA,planar_rotation,OTHERS,486.14,2.697,0.008,0.3565,0.3564999997615814,both,used_in_fit
TB_07+13_MidTop_RA,radial,OTHERS,486.14,3.087,0.008,0.2876,0.28760001063346863,both,used_in_fit
TB_07+13_MidTop_RR,axial,OTHERS,486.14,2.697,0.008,0.3189,0.3188999891281128,both,used_in_fit
TB_07+13_MidTop_RR,planar_rotation,OTHERS,486.14,2.697,0.008,0.3565,0.3564999997615814,both,used_in_fit
TB_07+13_MidTop_RR,radial,OTHERS,486.14,3.087,0.008,0.287,0.28700000047683716,both,used_in_fit
TB_07+13_Mid_AA,axial,OTHERS,451.94,2.437,0.008,0.3268,0.32679998874664307,both,used_in_fit
TB_07+13_Mid_AA,planar_rotation,OTHERS,451.94,2.437,0.008,0.3621,0.3621000051498413,both,used_in_fit
TB_07+13_Mid_AA,radial,OTHERS,451.94,2.827,0.008,0.2953,0.2953000068664551,both,used_in_fit
TB_07+13_Mid_AR,axial,OTHERS,451.94,2.437,0.008,0.328,0.328000009059906,both,used_in_fit
TB_07+13_Mid_AR,planar_rotation,OTHERS,451.94,2.437,0.008,0.3621,0.3621000051498413,both,used_in_fit
TB_07+13_Mid_AR,radial,OTHERS,451.94,2.827,0.008,0.2968,0.29679998755455017,both,used_in_fit
TB_07+13_Mid_RA,axial,OTHERS,451.94,2.437,0.008,0.3192,0.3192000091075897,both,used_in_fit
TB_07+13_Mid_RA,planar_rotation,OTHERS,451.94,2.437,0.008,0.374,0.37400001287460327,both,used_in_fit
TB_07+13_Mid_RA,radial,OTHERS,451.94,2.827,0.008,0.3009,0.30090001225471497,both,used_in_fit
TB_07+13_Mid_RR,axial,OTHERS,451.94,2.437,0.008,0.3303,0.3303000032901764,both,used_in_fit
TB_07+13_Mid_RR,planar_rotation,OTHERS,451.94,2.437,0.008,0.3593,0.35929998755455017,both,used_in_fit
TB_07+13_Mid_RR,radial,OTHERS,451.94,2.827,0.008,0.2989,0.2989000082015991,both,used_in_fit
