exp_id,mode,fit_group,m,l,r,f_exp_compare6,f_exp_h5,f_exp_used,f_pend,f_fit,fit_used,err_abs_hz,err_rel,A_mode,B_mode
CSBD_13_A,radial,OTHERS,435.793,1.665,0.0125,0.4221,0.4221000075340271,0.4221,0.38632028822570896,0.39669641736124395,True,0.025403582638756028,0.06018380156066342,30.45839197950269,-0.29338204004292534
CSBD_13_R,radial,OTHERS,435.793,1.665,0.0125,0.415,0.41499999165534973,0.415,0.38632028822570896,0.39669641736124395,True,0.018303582638756033,0.04410501840664104,30.45839197950269,-0.29338204004292534
CSB_07_A,radial,OTHERS,491.0,1.445,0.018,0.411,0.41100001335144043,0.411,0.4146872777494149,0.435874457218339,True,0.02487445721833903,0.06052179371858645,30.45839197950269,-0.29338204004292534
CSB_07_R,radial,OTHERS,491.0,1.445,0.018,0.4139,0.4138999879360199,0.4139,0.4146872777494149,0.435874457218339,True,0.021974457218339016,0.05309122304503266,30.45839197950269,-0.29338204004292534
CSB_13_A,radial,OTHERS,491.0,2.045,0.018,0.3485,0.34850001335144043,0.3485,0.3485844254326307,0.36005157198833027,True,0.01155157198833029,0.033146548029642155,30.45839197950269,-0.29338204004292534
CSB_13_R,radial,OTHERS,491.0,2.045,0.018,0.3504,0.35040000081062317,0.3504,0.3485844254326307,0.36005157198833027,True,0.009651571988330276,0.027544440605965403,30.45839197950269,-0.29338204004292534
CA_07_A,axial,CA,488.2,0.739,0.008,0.6913,0.6912999749183655,0.6913,0.5798723704505615,0.7038635940744765,True,0.012563594074476492,0.018173866735825966,272.8202146046651,-0.4045272173644761
CA_07_R,axial,CA,488.2,0.739,0.008,0.6912,0.6912000179290771,0.6912,0.5798723704505615,0.7038635940744765,True,0.01266359407447648,0.01832117198274954,272.8202146046651,-0.4045272173644761
CA_13_A,axial,CA,488.2,1.339,0.008,0.4831,0.4830999970436096,0.4831,0.43078874365525127,0.47296993136446475,True,0.010130068635535228,0.020968885604502645,272.8202146046651,-0.4045272173644761
CA_13_R,axial,CA,488.2,1.339,0.008,0.473,0.4729999899864197,0.473,0.43078874365525127,0.47296993136446475,True,3.006863553522976e-05,6.35700539856866e-05,272.8202146046651,-0.4045272173644761
CA_07_Top_A,axial,CA,556.6,0.999,0.008,0.5791,0.5791000127792358,0.5791,0.49873734753340665,0.5708244460682429,True,0.008275553931757051,0.014290371147914094,272.8202146046651,-0.4045272173644761
CA_07_Top_R,axial,CA,556.6,0.999,0.008,0.5633,0.5633000135421753,0.5633,0.49873734753340665,0.5708244460682429,True,0.007524446068242874,0.013357795256955216,272.8202146046651,-0.4045272173644761
CA_13_Top_A,axial,CA,556.6,1.599,0.008,0.4346,0.43459999561309814,0.4346,0.3942125112065391,0.42459866219971015,True,0.010001337800289833,0.023012742292429438,272.8202146046651,-0.4045272173644761
CA_13_Top_R,axial,CA,556.6,1.599,0.008,0.4371,0.43709999322891235,0.4371,0.3942125112065391,0.42459866219971015,True,0.012501337800289836,0.028600635553168236,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_AA,axial,CA,556.6,2.338,0.008,0.3421,0.34209999442100525,0.3421,0.32601109607798334,0.3409736616371026,True,0.0011263383628974388,0.0032924243288437265,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_AR,axial,CA,556.6,2.338,0.008,0.3425,0.3425000011920929,0.3425,0.32601109607798334,0.3409736616371026,True,0.0015263383628974503,0.004456462373423212,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_RA,axial,CA,556.6,2.338,0.008,0.3378,0.337799996137619,0.3378,0.32601109607798334,0.3409736616371026,True,0.003173661637102587,0.00939509069598161,272.8202146046651,-0.4045272173644761
CA_07+13_Mid_RR,axial,CA,556.6,2.338,0.008,0.3412,0.34119999408721924,0.3412,0.32601109607798334,0.3409736616371026,True,0.00022633836289742693,0.000663359797471943,272.8202146046651,-0.4045272173644761
CA_13+07_Mid_AA,axial,CA,556.6,2.338,0.008,0.3394,0.3393999934196472,0.3394,0.32601109607798334,0.3409736616371026,True,0.0015736616371025969,0.004636598812912778,272.8202146046651,-0.4045272173644761
CA_13+07_Mid_AR,axial,CA,556.6,2.338,0.008,0.3365,0.33649998903274536,0.3365,0.32601109607798334,0.3409736616371026,True,0.004473661637102555,0.013294685400007592,272.8202146046651,-0.4045272173644761
CA_13+07_Mid_RA,axial,CA,556.6,2.338,0.008,0.3373,0.33730000257492065,0.3373,0.32601109607798334,0.3409736616371026,True,0.0036736616371025876,0.010891377518833643,272.8202146046651,-0.4045272173644761
CA_13+07_Mid_RR,axial,CA,556.6,2.338,0.008,0.3374,0.33739998936653137,0.3374,0.32601109607798334,0.3409736616371026,True,0.0035736616371025987,0.01059176537374807,272.8202146046651,-0.4045272173644761
TB_07_A,axial,OTHERS,417.74,0.778,0.008,0.6099,nan,0.6099,0.5651514378149545,0.6119998592476175,True,0.002099859247617464,0.003442956628328355,4.11240407930609,0.30735680658145115
TB_07_R,axial,OTHERS,417.74,0.778,0.008,0.6095,0.609499990940094,0.6095,0.5651514378149545,0.6119998592476175,True,0.0024998592476174197,0.004101491792645479,4.11240407930609,0.30735680658145115
TB_13_A,axial,OTHERS,417.74,1.378,0.008,0.4457,0.4456999897956848,0.4457,0.42464892259623516,0.4486447134812897,True,0.002944713481289718,0.006606940725352744,4.11240407930609,0.30735680658145115
TB_13_R,axial,OTHERS,417.74,1.378,0.008,0.4496,0.4496000111103058,0.4496,0.42464892259623516,0.4486447134812897,True,0.0009552865187102966,0.0021247475949962113,4.11240407930609,0.30735680658145115
TB_07_Top_A,axial,OTHERS,451.94,1.038,0.008,0.5628,0.5627999901771545,0.5628,0.4892783042802312,0.5227282143210459,True,0.040071785678954086,0.07120075635919347,4.11240407930609,0.30735680658145115
TB_07_Top_R,axial,OTHERS,451.94,1.038,0.008,0.5294,0.5293999910354614,0.5294,0.4892783042802312,0.5227282143210459,True,0.006671785678954101,0.012602541894510958,4.11240407930609,0.30735680658145115
TB_13_Top_A,axial,OTHERS,451.94,1.638,0.008,0.4026,0.4025999903678894,0.4026,0.3894912329737223,0.4090763410686347,True,0.006476341068634706,0.016086291775048944,4.11240407930609,0.30735680658145115
TB_13_Top_R,axial,OTHERS,451.94,1.638,0.008,0.4072,0.40720000863075256,0.4072,0.3894912329737223,0.4090763410686347,True,0.0018763410686347126,0.004607910286431023,4.11240407930609,0.30735680658145115
TB_07+07_Mid_AA,axial,OTHERS,451.94,1.837,0.008,0.3815,0.3815000057220459,0.3815,0.367790118845413,0.3849034222128769,True,0.003403422212876872,0.008921159142534395,4.11240407930609,0.30735680658145115
TB_07+07_Mid_AR,axial,OTHERS,451.94,1.837,0.008,0.3833,0.3833000063896179,0.3833,0.367790118845413,0.3849034222128769,True,0.0016034222128769038,0.004183204312227769,4.11240407930609,0.30735680658145115
TB_07+07_Mid_RA,axial,OTHERS,451.94,1.837,0.008,0.3872,0.3871999979019165,0.3872,0.367790118845413,0.3849034222128769,True,0.0022965777871231108,0.005931244284925389,4.11240407930609,0.30735680658145115
TB_07+07_Mid_RR,axial,OTHERS,451.94,1.837,0.008,0.3868,0.38679999113082886,0.3868,0.367790118845413,0.3849034222128769,True,0.0018965777871230993,0.004903251776429937,4.11240407930609,0.30735680658145115
TB_07+13_Mid_AA,axial,OTHERS,451.94,2.437,0.008,0.3268,0.32679998874664307,0.3268,0.3193205515498723,0.3315855606894578,True,0.004785560689457846,0.014643698560152529,4.11240407930609,0.30735680658145115
TB_07+13_Mid_AR,axial,OTHERS,451.94,2.437,0.008,0.328,0.328000009059906,0.328,0.3193205515498723,0.3315855606894578,True,0.003585560689457812,0.010931587467859182,4.11240407930609,0.30735680658145115
TB_07+13_Mid_RA,axial,OTHERS,451.94,2.437,0.008,0.3192,0.3192000091075897,0.3192,0.3193205515498723,0.3315855606894578,True,0.012385560689457842,0.03880188185920377,4.11240407930609,0.30735680658145115
