mode,support_type,exp_id,f_exp,f_pred,rel_error,pi_l
planar_rotation,TB,TB_07+13_Mid_RA,0.374,0.37870728080766747,0.012586312319966495,304.625
planar_rotation,TB,TB_07+13_Mid_RR,0.3593,0.37870728080766747,0.054014140850730474,304.625
planar_rotation,TB,TB_13+07_Mid_AA,0.3607,0.37870728080766747,0.049923151670827406,304.625
planar_rotation,TB,TB_13+07_Mid_AR,0.3736,0.37870728080766747,0.013670451840651715,304.625
planar_rotation,TB,TB_13+07_Mid_RA,0.3673,0.37870728080766747,0.031057121719758923,304.625
planar_rotation,TB,TB_13+07_Mid_RR,0.3714,0.37870728080766747,0.019674961786934463,304.625
planar_rotation,TB,TB_07+07_MidTop_AA,0.4024,0.40640476757013216,0.00995220569118336,262.125
planar_rotation,TB,TB_07+07_MidTop_AR,0.4087,0.40640476757013216,-0.005615934499309625,262.125
planar_rotation,TB,TB_07+07_MidTop_RA,0.4099,0.40640476757013216,-0.008527036911119354,262.125
planar_rotation,TB,TB_07+07_MidTop_RR,0.4176,0.40640476757013216,-0.026808506776503503,262.125
planar_rotation,TB,TB_07+13_MidTop_AA,0.3554,0.36003916978865763,0.013053375882548221,337.125
planar_rotation,TB,TB_07+13_MidTop_AR,0.3559,0.36003916978865763,0.011630148324410332,337.125
planar_rotation,TB,TB_07+13_MidTop_RA,0.3565,0.36003916978865763,0.009927544989222013,337.125
planar_rotation,TB,TB_07+13_MidTop_RR,0.3565,0.36003916978865763,0.009927544989222013,337.125
planar_rotation,TB,TB_13+07_MidTop_AA,0.3558,0.36003916978865763,0.011914473829841558,337.125
planar_rotation,TB,TB_13+07_MidTop_AR,0.3534,0.36003916978865763,0.018786558541759025,337.125
planar_rotation,TB,TB_13+07_MidTop_RA,0.3535,0.36003916978865763,0.018498358666641162,337.125
planar_rotation,TB,TB_13+07_MidTop_RR,0.3526,0.36003916978865763,0.02109804250895521,337.125
planar_rotation,CSBD,CSBD_07_A,0.8522,0.7996904780857407,-0.06161643031478442,55.99999999999999
planar_rotation,CSBD,CSBD_07_R,0.8596,0.7996904780857407,-0.06969465090072051,55.99999999999999
planar_rotation,CSBD,CSBD_13_A,0.5595,0.597654005448484,0.06819303922874713,104.0
planar_rotation,CSBD,CSBD_13_R,0.5605,0.597654005448484,0.06628725325331672,104.0
planar_rotation,CSB,CSB_07_A,0.81829,0.8901282591306457,0.08779070883262143,45.00000000000001
planar_rotation,CSB,CSB_07_R,0.82229,0.8901282591306457,0.0824991902256452,45.00000000000001
planar_rotation,CSB,CSB_13_A,0.69267,0.6899458127725405,-0.003932878899706187,78.33333333333333
planar_rotation,CSB,CSB_13_R,0.69567,0.6899458127725405,-0.008228308289073106,78.33333333333333
