mode,exp_id,support_type,l_m,r_m,pi_l,pi_k_exp,pi_k_pred_TB,pi_k_pred_ALL,f_exp,f_pred_TB,f_pred_ALL,rel_error_TB,rel_error_ALL
radial,TB_07+13_MidTop_RR,TB,3.087,0.008,385.875,8.980139083245117,8.442463367031626,5.3074997089726565,0.287,0.28680452894847447,0.2856621549952185,-0.05987387402681437,-0.4089735515483011
radial,TB_13+07_MidTop_AA,TB,3.087,0.008,385.875,11.460465389416928,8.442463367031626,5.3074997089726565,0.2879,0.28680452894847447,0.2856621549952185,-0.2633402675926451,-0.5368861971457265
radial,TB_13+07_MidTop_AR,TB,3.087,0.008,385.875,8.430010081300335,8.442463367031626,5.3074997089726565,0.2868,0.28680452894847447,0.2856621549952185,0.001477256327239274,-0.37040410891727293
radial,TB_13+07_MidTop_RA,TB,3.087,0.008,385.875,9.806051646377588,8.442463367031626,5.3074997089726565,0.2873,0.28680452894847447,0.2856621549952185,-0.1390557921291062,-0.4587526253817685
radial,TB_13+07_MidTop_RR,TB,3.087,0.008,385.875,10.081547583479072,8.442463367031626,5.3074997089726565,0.2874,0.28680452894847447,0.2856621549952185,-0.1625825998315438,-0.4735431574344586
radial,CSBD_07_A,CSBD,1.065,0.0125,85.19999999999999,23.539627124698537,0.047005566455771336,8.267051916367057,0.5457,0.4831695986675227,0.5059286882273545,-0.9980031303721694,-0.6488027668164293
radial,CSBD_07_R,CSBD,1.065,0.0125,85.19999999999999,17.02460825852883,0.047005566455771336,8.267051916367057,0.5291,0.4831695986675227,0.5059286882273545,-0.9972389634027425,-0.5144057477959584
radial,CSBD_13_A,CSBD,1.665,0.0125,133.2,25.8156600725676,0.2182921387491945,7.251295238345366,0.4221,0.3866367152502263,0.39669641736124395,-0.9915441968891914,-0.7191125379726089
radial,CSBD_13_R,CSBD,1.665,0.0125,133.2,20.51115483377753,0.2182921387491945,7.251295238345366,0.415,0.3866367152502263,0.39669641736124395,-0.9893573940366481,-0.6464706498922226
radial,CSB_07_A,CSB,1.445,0.018,80.27777777777779,-1.4212659911165275,0.03831222899262979,8.412651620815796,0.411,0.414786219818227,0.435874457218339,-1.0269564101527064,-6.919125394822773
